Date,Open,High,Low,Close,Adj Close,Volume
2018-07-09,6.400000,6.439000,6.364000,6.368000,4.856459,12886727
2018-07-10,6.350000,6.353000,6.175000,6.212000,4.737488,30879204
2018-07-11,6.140000,6.160000,6.045000,6.045000,4.610129,27095487
2018-07-12,6.079000,6.090000,5.984000,6.057000,4.619280,14354283
2018-07-13,6.083000,6.083000,5.994000,6.033000,4.600976,19676392
2018-07-16,6.014000,6.064000,5.967000,5.993000,4.570471,12241249
2018-07-17,6.000000,6.046000,5.921000,5.935000,4.526237,30099073
2018-07-18,5.921000,6.004000,5.871000,6.004000,4.578860,18177617
2018-07-19,6.000000,6.071000,5.949000,5.976000,4.557507,18844366
2018-07-20,5.950000,5.999000,5.916000,5.971000,4.553693,18154493
2018-07-23,5.939000,6.043000,5.916000,6.026000,4.595638,12874159
2018-07-24,6.080000,6.200000,6.077000,6.156000,4.694781,24455636
2018-07-25,6.156000,6.160000,6.034000,6.048000,4.612416,33414084
2018-07-26,6.074000,6.168000,6.070000,6.121000,4.668087,17092547
2018-07-27,6.190000,6.328000,6.159000,6.201000,4.729099,19339011
2018-07-30,6.166000,6.255000,6.152000,6.228000,4.749691,14386865
2018-07-31,6.210000,6.330000,6.210000,6.286000,4.793922,19884467
2018-08-01,6.294000,6.330000,6.204000,6.224000,4.746640,12355326
2018-08-02,6.189000,6.190000,6.022000,6.050000,4.613941,40637842
2018-08-03,6.054000,6.110000,6.010000,6.063000,4.623856,11490903
2018-08-06,6.073000,6.100000,6.006000,6.041000,4.607078,10343490
2018-08-07,6.060000,6.086000,6.025000,6.040000,4.606315,12020994
2018-08-08,6.025000,6.051000,5.966000,6.002000,4.577334,11854786
2018-08-09,6.000000,6.005000,5.917000,5.947000,4.535389,17577924
2018-08-10,5.820000,5.825000,5.600000,5.640000,4.301260,62976602
2018-08-13,5.478000,5.528000,5.400000,5.458000,4.162461,47446787
2018-08-14,5.484000,5.568000,5.385000,5.453000,4.158648,33658509
2018-08-15,5.479000,5.530000,5.335000,5.399000,4.117466,29976005
2018-08-16,5.466000,5.516000,5.410000,5.487000,4.184577,25579272
2018-08-17,5.514000,5.514000,5.379000,5.440000,4.148734,23647680
2018-08-20,5.469000,5.514000,5.394000,5.416000,4.130430,15085126
2018-08-21,5.400000,5.539000,5.390000,5.496000,4.191442,13607768
2018-08-22,5.489000,5.582000,5.480000,5.551000,4.233387,24955003
2018-08-23,5.570000,5.597000,5.520000,5.522000,4.211270,12248441
2018-08-24,5.502000,5.567000,5.502000,5.533000,4.219658,10030513
2018-08-27,5.551000,5.587000,5.506000,5.571000,4.248639,8974449
2018-08-28,5.590000,5.608000,5.490000,5.490000,4.186865,25653913
2018-08-29,5.510000,5.545000,5.455000,5.533000,4.219658,20781154
2018-08-30,5.501000,5.510000,5.378000,5.381000,4.103738,34060208
2018-08-31,5.394000,5.411000,5.353000,5.370000,4.095348,27870062
2018-09-03,5.370000,5.395000,5.328000,5.354000,4.083147,15644415
2018-09-04,5.354000,5.422000,5.298000,5.368000,4.093824,21954834
2018-09-05,5.347000,5.426000,5.297000,5.363000,4.090011,50562721
2018-09-06,5.320000,5.320000,5.221000,5.228000,3.987056,26602808
2018-09-07,5.230000,5.257000,5.118000,5.180000,3.950449,32655323
2018-09-10,5.166000,5.275000,5.150000,5.199000,3.964939,18923341
2018-09-11,5.229000,5.255000,5.155000,5.209000,3.972565,18139368
2018-09-12,5.210000,5.220000,5.137000,5.215000,3.977141,15838289
2018-09-13,5.213000,5.461000,5.209000,5.438000,4.147208,41753930
2018-09-14,5.478000,5.479000,5.384000,5.449000,4.155597,21795973
2018-09-17,5.430000,5.528000,5.428000,5.503000,4.196779,20753129
2018-09-18,5.502000,5.509000,5.443000,5.486000,4.183815,23392980
2018-09-19,5.505000,5.606000,5.475000,5.596000,4.267704,30839221
2018-09-20,null,null,null,null,null,null
2018-09-21,5.742000,5.785000,5.605000,5.636000,4.298210,102356766
2018-09-24,5.600000,5.635000,5.568000,5.593000,4.265417,64075456
2018-09-25,5.630000,5.678000,5.595000,5.598000,4.269230,55871393
2018-09-26,5.601000,5.624000,5.561000,5.577000,4.253215,33099820
2018-09-27,5.536000,5.609000,5.462000,5.609000,4.277619,70833365
2018-09-28,5.548000,5.549000,5.384000,5.490000,4.186865,60517793
2018-10-01,5.477000,5.605000,5.467000,5.515000,4.205932,133000967
2018-10-02,5.458000,5.468000,5.369000,5.369000,4.094586,317105362
2018-10-03,5.426000,5.440000,5.341000,5.344000,4.075521,63634787
2018-10-04,5.345000,5.398000,5.290000,5.297000,4.039677,116536006
2018-10-05,5.300000,5.308000,5.245000,5.263000,4.013748,23148403
2018-10-08,5.200000,5.242000,5.103000,5.215000,4.054173,46150733
2018-10-09,5.242000,5.303000,5.181000,5.295000,4.116365,201365181
2018-10-10,5.257000,5.358000,5.247000,5.293000,4.114810,121994503
2018-10-11,5.193000,5.356000,5.182000,5.289000,4.111701,168796646
2018-10-12,5.370000,5.390000,5.264000,5.264000,4.092265,50955754
2018-10-15,5.249000,5.343000,5.233000,5.319000,4.135022,64930864
2018-10-16,5.346000,5.384000,5.303000,5.361000,4.167674,122234201
2018-10-17,5.380000,5.407000,5.276000,5.298000,4.118698,26164575
2018-10-18,5.280000,5.339000,5.092000,5.155000,4.007528,57601700
2018-10-19,5.130000,5.245000,5.016000,5.206000,4.047176,41425822
2018-10-22,5.285000,5.321000,5.094000,5.095000,3.960884,19954017
2018-10-23,5.020000,5.123000,5.007000,5.068000,3.939894,36343776
2018-10-24,5.077000,5.077000,4.964500,4.964500,3.859433,19857407
2018-10-25,4.985000,5.134000,4.972000,5.106000,3.969435,30572041
2018-10-26,5.072000,5.093000,5.008000,5.088000,3.955442,23175251
2018-10-29,5.168000,5.201000,5.076000,5.133000,3.990425,25115957
2018-10-30,5.200000,5.226000,4.969000,4.972000,3.865263,41159633
2018-10-31,5.016000,5.022000,4.866000,4.885000,3.797629,54935115
2018-11-01,4.895000,5.036000,4.884500,5.032000,3.911907,23516374
2018-11-02,5.094000,5.194000,5.081000,5.164000,4.014525,26953347
2018-11-05,5.166000,5.255000,5.165000,5.207000,4.047953,16550894
2018-11-06,5.199000,5.205000,5.101000,5.155000,4.007528,14127398
2018-11-07,5.400000,5.400000,5.237000,5.244000,4.076718,27906472
2018-11-08,5.267000,5.290000,5.200000,5.217000,4.055727,16788971
2018-11-09,5.050000,5.050000,4.852000,4.911500,3.818230,71288107
2018-11-12,5.025000,5.049000,4.900000,4.912500,3.819008,29175160
2018-11-13,4.925000,5.009000,4.925000,4.999500,3.886641,24532760
2018-11-14,4.974500,5.029000,4.950000,4.972000,3.865263,16353471
